Trial,time,PositionX,PositionY,PositionZ
1,0.02,-7.95259,1.299436,0.5
1,0.04,-7.873517,1.42373,0.5
1,0.06,-7.760554,1.570622,0.5
1,0.08,-7.658888,1.694916,0.5
1,0.09999999,-7.613702,1.751413,0.5
1,0.12,-7.557221,1.80791,0.5
1,0.14,-7.46685,1.853108,0.5
1,0.16,-7.353888,1.875707,0.5
1,0.18,-7.252221,1.887007,0.5
1,0.2,-7.218332,1.887007,0.5
1,0.24,-7.184443,1.887007,0.5
1,0.26,-7.150554,1.830509,0.5
1,0.28,-7.10537,1.751413,0.5
1,0.3,-7.07148,1.62712,0.5
1,0.32,-7.037591,1.446329,0.5
1,0.34,-6.992406,1.231639,0.5
1,0.36,-6.947221,0.9943509,0.5
1,0.38,-6.890739,0.7231647,0.5
1,0.4,-6.800369,0.3502834,0.5
1,0.42,-6.642221,-0.1581913,0.5
1,0.4400001,-6.484073,-0.8361572,0.5
1,0.4600001,-6.314628,-1.58192,0.5
1,0.4800001,-6.167777,-2.259886,0.5
1,0.5000001,-6.088703,-2.870056,0.5
1,0.52,-6.020925,-3.401129,0.5
1,0.54,-5.907962,-3.909603,0.5
1,0.56,-5.806295,-4.361581,0.5
1,0.58,-5.715925,-4.666666,0.5
1,0.6,-5.659443,-4.858756,0.5
1,0.6199999,-5.625555,-4.971751,0.5
1,0.6399999,-5.591666,-5.062146,0.5
1,0.6599999,-5.569073,-5.073445,0.5
1,0.6799999,-5.523888,-5.062146,0.5
1,0.6999999,-5.478702,-4.960451,0.5
1,0.7199998,-5.388332,-4.689265,0.5
1,0.7399998,-5.354444,-4.18079,0.5
1,0.7599998,-5.297961,-3.480225,0.5
1,0.7799998,-5.218888,-2.711864,0.5
1,0.7999998,-5.184999,-2.237287,0.5
1,0.8199998,-5.15111,-1.649717,0.5
1,0.8399997,-5.128517,-0.9491515,0.5
1,0.8599997,-5.083333,-0.2146882,0.5
1,0.8799997,-5.072036,0.2711874,0.5
1,0.8999997,-5.038147,0.6779671,0.5
1,0.9199997,-4.981666,1.175143,0.5
1,0.9399996,-4.947777,1.672317,0.5
